,Node,Degree,Closeness,Betweenness
69,69,11,0.44879518072289154,0.005453048488158332
70,70,6,0.3983957219251337,0.0013067459446774229
71,71,10,0.42209631728045327,0.006036160901149256
72,72,8,0.415041782729805,0.0038968423701441334
73,73,21,0.5,0.0241464441734583
74,74,11,0.43440233236151604,0.0064640384037680685
75,75,9,0.430635838150289,0.004673540676213489
76,76,9,0.4197183098591549,0.003864885718552854
77,77,14,0.465625,0.010711928739708613
78,78,12,0.4501510574018127,0.005974678219856587
79,79,16,0.4775641025641026,0.01306202372144346
80,80,14,0.473015873015873,0.01024568290327818
81,81,17,0.473015873015873,0.019161996919444445
82,82,11,0.4331395348837209,0.005404854908824845
83,83,15,0.4584615384615385,0.014064045518672446
84,84,15,0.46273291925465837,0.010918987214042676
85,85,6,0.3952254641909814,0.0016128493526778949
86,86,18,0.48220064724919093,0.01434619820638055
87,87,10,0.43823529411764706,0.007171794752325566
88,88,12,0.45151515151515154,0.006339506016042241
89,89,15,0.47003154574132494,0.011161561347076986
90,90,11,0.43952802359882004,0.0066773896000344515
91,91,8,0.4027027027027027,0.0038805280035765946
92,92,19,0.49174917491749176,0.01716174074962929
93,93,10,0.42209631728045327,0.005833370024694272
94,94,13,0.45426829268292684,0.009742392530761416
95,95,10,0.4318840579710145,0.004512693980981621
96,96,12,0.45426829268292684,0.0060733379681864545
97,97,8,0.4173669467787115,0.0032538294682697214
98,98,13,0.4408284023668639,0.009315866384347376
99,99,17,0.49337748344370863,0.013420403504233267
100,100,15,0.45987654320987653,0.012995245452529598
101,101,15,0.465625,0.0103936224662925
102,102,13,0.4584615384615385,0.008386803963260983
103,103,14,0.45565749235474007,0.00934001466774324
104,104,11,0.43567251461988304,0.005795869340257371
105,105,9,0.4269340974212034,0.004395142602681798
106,106,8,0.415041782729805,0.002945367309039152
107,107,18,0.476038338658147,0.01575695309017905
108,108,7,0.39313984168865435,0.002043721739956909
109,109,14,0.4775641025641026,0.008163123996674824
110,110,13,0.45426829268292684,0.007059467080764568
111,111,7,0.3952254641909814,0.0030107070669759353
112,112,15,0.4670846394984326,0.010210445108689445
113,113,15,0.4613003095975232,0.014870656247967387
114,114,9,0.415041782729805,0.003542992588437738
115,115,11,0.4257142857142857,0.00600785410013793
116,116,6,0.369727047146402,0.001913697055532001
117,117,15,0.4745222929936306,0.01110159027612164
118,118,13,0.4570552147239264,0.009142445322884002
119,119,13,0.44744744744744747,0.008749894948117967
120,120,5,0.38903394255874674,0.001357215707294665
121,121,15,0.45426829268292684,0.011694596658320318
122,122,7,0.40934065934065933,0.002112089580475113
123,123,9,0.4173669467787115,0.004407223871505954
124,124,11,0.4501510574018127,0.00607441788368205
125,125,14,0.46273291925465837,0.012501379136381916
126,126,8,0.41046831955922863,0.0033447165105139156
127,127,14,0.4584615384615385,0.01026668317434001
128,128,8,0.4116022099447514,0.0032485999205154018
129,129,8,0.41388888888888886,0.003801953214507895
130,130,9,0.415041782729805,0.004408733171820724
131,131,11,0.43440233236151604,0.006487871027101843
132,132,12,0.44477611940298506,0.007419060354845341
133,133,15,0.4790996784565916,0.010784317060582721
134,134,16,0.48534201954397393,0.013383757428371038
135,135,4,0.3725,0.000943934368903269
136,136,9,0.4173669467787115,0.005454000992918776
137,137,9,0.4269340974212034,0.0043329523278875905
138,138,10,0.4257142857142857,0.005796330159757137
139,139,6,0.3900523560209424,0.0025545553877973264
140,140,18,0.48534201954397393,0.016794042461941307
141,141,16,0.476038338658147,0.013249644703174654
142,142,16,0.46855345911949686,0.012660689124069311
143,143,10,0.4281609195402299,0.005935807572163388
144,144,15,0.46273291925465837,0.013449229225908488
145,145,23,0.5120274914089347,0.029654669365534077
146,146,10,0.42939481268011526,0.004880882509018425
147,147,17,0.4775641025641026,0.014890203773956025
148,148,7,0.40599455040871935,0.0033590122227383566
149,149,16,0.476038338658147,0.01274531084643505
